List the type of the recent files in my drive	GET drive.recent
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me the information about created by of files shared with anyone in my organization and were last modified by Shawnna.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedBy eq Shawnna
Provide me with the top 19 created by of files that were last updated by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
How many files I have in my drive?	GET drive.root.children COUNT
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
How many excel files I have?	GET drive.root.children FILTER file.fileType eq xlsx COUNT
Give me the number of files.	GET drive.root.children COUNT
How many files I have in my drive?	GET drive.root.children COUNT
How many UNIX files were shared with specific users that were last edited by Alease?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq UNIX FILTER file.lastModifiedBy eq Alease COUNT
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
Which people have created the files in my drive?	GET drive.root.children
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
Give me the number of files that were shared with specific users about veer.	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
How many excel files I have?	GET drive.root.children FILTER file.fileType eq xlsx COUNT
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
How many files I have in my drive?	GET drive.root.children COUNT
Give me the number of files that were last updated yesterday.	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
How many image files were last modified one hour ago?	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.lastModifiedDateTime eq one hour ago COUNT
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
List the top 3 created by of files.	GET drive.root.children TOP 3
List the top 3 created by of files.	GET drive.root.children TOP 3
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Give me the information about created by of files shared with anyone in my organization and were last modified by Shawnna.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedBy eq Shawnna
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Provide me with the number of files named as emergent.	GET drive.root.children FILTER file.name eq emergent COUNT
Give me the number of files that were last updated yesterday.	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
Give me the number of files that were shared with specific users about veer.	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
Provide me with the number of files named as emergent.	GET drive.root.children FILTER file.name eq emergent COUNT
How many agillion files I have in my drive?	GET drive.root.children FILTER file.name eq agillion COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Tell me the number of excel files.	GET drive.root.children FILTER file.fileType eq xlsx COUNT
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
Provide me with the number of files named as emergent.	GET drive.root.children FILTER file.name eq emergent COUNT
Give me the number of files that were last updated yesterday.	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
What are the number of files?	GET drive.root.children COUNT
Provide me with the top 19 created by of files that were last updated by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
List the top 3 created by of files.	GET drive.root.children TOP 3
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Give me the number of files that were last updated yesterday.	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
List the top 3 created by of files.	GET drive.root.children TOP 3
Tell me the number of jpeg files last modified one hour ago.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.lastModifiedDateTime eq one hour ago COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Provide me with the number of files named as emergent.	GET drive.root.children FILTER file.name eq emergent COUNT
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
What are the number of files?	GET drive.root.children COUNT
Give me the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Give me the number of files.	GET drive.root.children COUNT
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the number of files.	GET drive.root.children COUNT
Provide me with the number of files named as emergent.	GET drive.root.children FILTER file.name eq emergent COUNT
How many excel files I have?	GET drive.root.children FILTER file.fileType eq xlsx COUNT
Tell me the number of jpeg files last modified one hour ago.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.lastModifiedDateTime eq one hour ago COUNT
Give me the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
Give me the number of files that were shared with specific users about veer.	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
Give me the number of files present in the drive.	GET drive.root.children COUNT
How many files about veer that were shared with specific users?	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Give me the information about created by of files shared with anyone in my organization and were last modified by Shawnna.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedBy eq Shawnna
List the top 3 created by of files.	GET drive.root.children TOP 3
Give me the number of files that were last updated yesterday.	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
Tell me the number of excel files.	GET drive.root.children FILTER file.fileType eq xlsx COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
Give me the created by of files which were updated by Diane Hendeson three hours ago ordered by size from largest to smallest.	GET drive.root.children FILTER file.lastModifiedDateTime eq three hours ago FILTER file.lastModifiedBy eq Diane Hendeson ORDERBY file.size desc
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
How many files are present in my drive?	GET drive.root.children COUNT
How many agillion files I have in my drive?	GET drive.root.children FILTER file.name eq agillion COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Give me the number of files that were shared with specific users about veer.	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
Give me the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Give me the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Provide me the information about created by of files shared with anyone in my organization and were last modified by Shawnna.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedBy eq Shawnna
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Tell me the number of jpeg files last modified one hour ago.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.lastModifiedDateTime eq one hour ago COUNT
Show me the number of files about rocchio-style method.	GET drive.root.children FILTER file.name eq rocchio-style method COUNT
Give me the number of files.	GET drive.root.children COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
List the top 3 created by of files.	GET drive.root.children TOP 3
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Give me the number of files that were shared with specific users about veer.	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
Give me the information about created by of files shared with anyone in my organization and were last modified by Shawnna.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization FILTER file.lastModifiedBy eq Shawnna
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
Provide me with the number of files named as emergent.	GET drive.root.children FILTER file.name eq emergent COUNT
Give me the number of files present in the drive.	GET drive.root.children COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
How many UNIX files were shared with specific users that were last edited by Alease?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq UNIX FILTER file.lastModifiedBy eq Alease COUNT
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
How many files I have in my drive?	GET drive.root.children COUNT
Tell me the number of jpeg files last modified one hour ago.	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.lastModifiedDateTime eq one hour ago COUNT
How many files about veer that were shared with specific users?	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
Provide me the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Give me the number of files that were shared with specific users about veer.	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
How many UNIX files were shared with specific users that were last edited by Alease?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq UNIX FILTER file.lastModifiedBy eq Alease COUNT
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
How many UNIX files were shared with specific users that were last edited by Alease?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq UNIX FILTER file.lastModifiedBy eq Alease COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
How many excel files I have?	GET drive.root.children FILTER file.fileType eq xlsx COUNT
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Give me the number of files present in the drive.	GET drive.root.children COUNT
Provide me with the top 19 created by of files that were last updated by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
Give me the number of files.	GET drive.root.children COUNT
Give me the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
How many files I have in my drive about emergent?	GET drive.root.children FILTER file.name eq emergent COUNT
How many files I have in my drive?	GET drive.root.children COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the number of files present in the drive.	GET drive.root.children COUNT
Give me the created by of files which were updated by Diane Hendeson three hours ago ordered by size from largest to smallest.	GET drive.root.children FILTER file.lastModifiedDateTime eq three hours ago FILTER file.lastModifiedBy eq Diane Hendeson ORDERBY file.size desc
Give me the number of files present in the drive.	GET drive.root.children COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
How many excel files I have?	GET drive.root.children FILTER file.fileType eq xlsx COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
How many files I have in my drive?	GET drive.root.children COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
What are the number of files?	GET drive.root.children COUNT
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
Give me the created by of files which were updated by Diane Hendeson three hours ago ordered by size from largest to smallest.	GET drive.root.children FILTER file.lastModifiedDateTime eq three hours ago FILTER file.lastModifiedBy eq Diane Hendeson ORDERBY file.size desc
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the number of files that were last updated yesterday.	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Provide me with the top 19 created by of files that were last updated by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
How many files about veer that were shared with specific users?	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Provide me with the top 19 created by of files that were last updated by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide the top 3 created by of files.	GET drive.root.children TOP 3
Give me the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Provide the top 3 created by of files.	GET drive.root.children TOP 3
How many files I have in my drive about emergent?	GET drive.root.children FILTER file.name eq emergent COUNT
What are the number of files?	GET drive.root.children COUNT
Give me the number of files present in the drive.	GET drive.root.children COUNT
How many files were last updated yesterday?	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Show me the top 19 created by of files that were last edited by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Give me the number of files present in the drive.	GET drive.root.children COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Provide me with the top 19 created by of files that were last updated by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
How many UNIX files were shared with specific users that were last edited by Alease?	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq UNIX FILTER file.lastModifiedBy eq Alease COUNT
Provide me with the number of files named as emergent.	GET drive.root.children FILTER file.name eq emergent COUNT
Give me the number of files that were shared with specific users about veer.	GET drive.root.children FILTER file.name eq veer FILTER file.sharedWith eq specific users COUNT
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me the number of files I have in my drive named as Ideas Exchange.	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me with the top 19 created by of files that were last updated by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
How many excel files I have?	GET drive.root.children FILTER file.fileType eq xlsx COUNT
Give me the number of files present in the drive.	GET drive.root.children COUNT
Give me the number of files present in the drive.	GET drive.root.children COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
Give me the number of files.	GET drive.root.children COUNT
How many files do I have in m drive about Ideas Exchange?	GET drive.root.children FILTER file.name eq Ideas Exchange COUNT
Provide me the number of contextaware files shared with specific user that were last modified this Thursday.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.name eq contextaware FILTER file.lastModifiedDateTime eq this Thursday COUNT
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the number of files named as agillion.	GET drive.root.children FILTER file.name eq agillion COUNT
What are the created by of files that were created this week about bugzillaOverflow in the order of their size from largest to smallest?	GET drive.root.children FILTER file.name eq bugzillaOverflow FILTER file.createdDateTime eq this week ORDERBY file.size desc
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Provide me with the top 19 created by of files that were last updated by Shelton.	GET drive.root.children FILTER file.lastModifiedBy eq Shelton TOP 19
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
List the top 3 created by of files.	GET drive.root.children TOP 3
What are the top 14 created by of files that were last modified by Gladis in the order of their size from smallest to largest?	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
Give me the number of files that were last updated yesterday.	GET drive.root.children FILTER file.lastModifiedDateTime eq yesterday COUNT
Give me the top 14 created by of files that were last modified by Gladis and arrange them in the order of their size from smallest to biggest.	GET drive.root.children FILTER file.lastModifiedBy eq Gladis ORDERBY file.size asc TOP 14
List out the created by of Synchronous learning files in the ascending order.	GET drive.root.children FILTER file.name eq Synchronous learning ORDERBY file.name asc
